source,target,relationship
ISS001,DL001,ISSUED
DL001,BNK014,ARRANGED_BY
DL001,INV008,PURCHASED_BY
DL001,INV006,PURCHASED_BY
ISS001,DL002,ISSUED
DL002,BNK009,ARRANGED_BY
DL002,INV005,PURCHASED_BY
DL002,INV011,PURCHASED_BY
DL002,INV015,PURCHASED_BY
ISS002,DL003,ISSUED
DL003,BNK004,ARRANGED_BY
DL003,INV009,PURCHASED_BY
DL003,INV013,PURCHASED_BY
ISS002,DL004,ISSUED
DL004,BNK015,ARRANGED_BY
DL004,INV013,PURCHASED_BY
DL004,INV002,PURCHASED_BY
ISS003,DL005,ISSUED
DL005,BNK004,ARRANGED_BY
DL005,INV014,PURCHASED_BY
DL005,INV012,PURCHASED_BY
DL005,INV010,PURCHASED_BY
ISS003,DL006,ISSUED
DL006,BNK012,ARRANGED_BY
DL006,INV005,PURCHASED_BY
DL006,INV012,PURCHASED_BY
ISS004,DL007,ISSUED
DL007,BNK004,ARRANGED_BY
DL007,INV011,PURCHASED_BY
DL007,INV015,PURCHASED_BY
DL007,INV012,PURCHASED_BY
DL007,INV005,PURCHASED_BY
ISS005,DL008,ISSUED
DL008,BNK001,ARRANGED_BY
DL008,INV015,PURCHASED_BY
DL008,INV013,PURCHASED_BY
DL008,INV009,PURCHASED_BY
ISS006,DL009,ISSUED
DL009,BNK002,ARRANGED_BY
DL009,INV002,PURCHASED_BY
DL009,INV014,PURCHASED_BY
DL009,INV008,PURCHASED_BY
DL009,INV006,PURCHASED_BY
ISS006,DL010,ISSUED
DL010,BNK002,ARRANGED_BY
DL010,INV006,PURCHASED_BY
DL010,INV005,PURCHASED_BY
DL010,INV014,PURCHASED_BY
ISS007,DL011,ISSUED
DL011,BNK008,ARRANGED_BY
DL011,INV006,PURCHASED_BY
DL011,INV007,PURCHASED_BY
ISS007,DL012,ISSUED
DL012,BNK010,ARRANGED_BY
DL012,INV005,PURCHASED_BY
DL012,INV003,PURCHASED_BY
DL012,INV009,PURCHASED_BY
DL012,INV011,PURCHASED_BY
ISS008,DL013,ISSUED
DL013,BNK015,ARRANGED_BY
DL013,INV011,PURCHASED_BY
DL013,INV012,PURCHASED_BY
ISS008,DL014,ISSUED
DL014,BNK007,ARRANGED_BY
DL014,INV015,PURCHASED_BY
DL014,INV009,PURCHASED_BY
ISS009,DL015,ISSUED
DL015,BNK005,ARRANGED_BY
DL015,INV011,PURCHASED_BY
